,Domain,No. of Local links,No. of Outbound links,Total links
0,16,1,17,False
1,0,1,1,False
2,196,36,232,False
3,49,8,57,False
4,0,144,144,False
5,41,11,52,False
6,49,2,51,False
7,49,2,51,False
8,91,5,96,False
9,21,20,41,False
10,24,1,25,False
11,34,6,40,False
12,58,19,77,False
13,181,11,192,False
14,66,0,66,False
15,18,14,32,False
16,37,4,41,False
17,21,64,85,False
18,0,0,0,False
19,0,0,0,False
20,0,0,0,False
21,59,6,65,False
22,70,6,76,False
23,238,25,263,False
24,229,26,255,False
25,6,227,233,False
26,0,6,6,False
27,45,12,57,False
28,62,3,65,False
29,41,16,57,False
30,53,4,57,False
31,22,10,32,True
32,14,1,15,False
33,61,7,68,False
34,79,110,189,False
35,0,12,12,False
36,45,24,69,False
37,78,15,93,False
38,0,0,0,False
39,253,7,260,False
40,0,10,10,False
41,78,214,292,False
42,51,8,59,False
43,0,0,0,False
44,78,214,292,False
45,51,8,59,False
46,0,0,0,False
47,17,0,17,False
48,2,71,73,False
49,0,57,57,False
50,85,12,97,False
51,142,17,159,False
52,71,13,84,False
53,89,20,109,False
54,10,9,19,False
55,0,0,0,False
56,24,1,25,False
57,75,2,77,False
58,18,14,32,False
59,37,0,37,False
60,31,0,31,False
61,2,123,125,False
62,37,0,37,False
63,59,6,65,False
64,22,0,22,False
65,0,0,0,False
66,126,8,134,False
67,57,1,58,False
68,38,3,41,False
69,21,40,61,False
70,0,0,0,False
71,0,0,0,False
72,16,1,17,False
73,12,21,33,False
74,0,0,0,False
75,7,2,9,False
76,14,1,15,False
77,0,0,0,False
78,0,0,0,False
79,32,2,34,False
80,0,0,0,False
81,0,0,0,False
82,93,7,100,False
83,19,6,25,False
84,74,2,76,False
85,26,0,26,False
86,18,1,19,False
87,34,0,34,False
88,0,0,0,False
89,63,9,72,False
90,0,1,1,False
91,49,2,51,False
92,0,0,0,False
93,51,8,59,False
94,0,0,0,False
95,233,3,236,False
96,68,11,79,False
97,11,17,28,False
98,49,22,71,False
99,59,3,62,False
100,72,11,83,False
101,106,0,106,False
102,0,0,0,False
103,0,0,0,False
104,114,0,114,False
105,0,0,0,False
106,0,0,0,False
107,0,0,0,False
108,0,0,0,False
109,0,1,1,False
110,6,2,8,False
111,1,3,4,False
112,0,0,0,False
113,87,3,90,False
114,0,0,0,False
115,68,11,79,False
116,0,0,0,False
117,0,0,0,False
118,6,7,13,False
119,0,0,0,False
120,86,11,97,False
121,0,0,0,False
122,86,9,95,False
123,25,3,28,False
124,36,4,40,False
125,99,26,125,False
126,35,4,39,False
127,174,20,194,False
128,189,17,206,False
129,203,26,229,False
130,165,44,209,False
131,178,9,187,False
132,170,9,179,False
133,162,17,179,False
134,180,17,197,False
135,164,22,186,False
136,215,24,239,False
137,125,8,133,False
138,41,5,46,False
139,42,6,48,False
140,172,7,179,False
141,237,12,249,False
142,189,21,210,False
143,42,7,49,False
144,149,11,160,False
145,37,6,43,False
146,33,7,40,False
147,157,25,182,False
148,146,32,178,False
149,260,18,278,False
150,154,14,168,False
151,217,11,228,False
152,211,23,234,False
153,25,15,40,False
154,36,10,46,False
155,187,11,198,False
156,210,9,219,False
157,151,12,163,False
158,35,7,42,False
159,37,7,44,False
160,117,16,133,False
161,36,4,40,False
162,33,14,47,False
163,126,7,133,False
164,36,3,39,False
165,193,14,207,False
166,169,30,199,False
167,134,17,151,False
168,57,38,95,False
169,124,33,157,False
170,39,1,40,False
171,39,3,42,False
172,34,6,40,False
173,261,20,281,False
174,112,25,137,False
175,143,33,176,False
176,37,2,39,False
177,32,10,42,False
178,279,15,294,False
179,176,10,186,False
180,61,7,68,False
181,193,31,224,False
182,78,15,93,False
183,218,22,240,False
184,38,1,39,False
185,320,81,401,False
186,124,12,136,False
187,234,32,266,False
188,126,15,141,False
189,139,39,178,False
190,38,1,39,False
191,100,37,137,False
192,170,9,179,False
193,36,2,38,False
194,62,4,66,False
195,0,0,0,False
196,175,8,183,False
197,143,22,165,False
